field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
HC a_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972770983436815,-0.6424205248611846,0.0,0.0,-0.6424205248611846,0.1546266025712283
HC a_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136006522501628,-0.5718107516646849,0.0,0.0,-0.5718107516646849,0.18945739712307302
HC a_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0014514226366245,-0.43767997297830014,0.0,0.0,-0.43767997297830014,0.09245070514660793
HC a_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2039545106115495,-0.8260549510379532,0.0,0.0,-0.8260549510379532,0.06550959249648095
HC a_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853587333006708,-0.376204465528817,0.0,0.0,-0.376204465528817,0.06906641254352121
HC a_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4103625756245353,-0.3415094715406986,0.0,0.0,-0.3415094715406986,0.03457653955774699
HC a_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2744137623577048,-0.3862167215026968,0.0,0.0,-0.3862167215026968,0.04064766791227565
HC a_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403251116979813,-0.4837799075354209,0.0,0.0,-0.4837799075354209,0.06911191649179602
HC a_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2148372966315333,-0.5573635255877448,0.0,0.0,-0.5573635255877448,0.035207585771326086
HC b_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4440709364412645,-0.9066563327785095,0.0,0.0,-0.9066563327785095,0.17031976731959772
